equilibrating 22 replicas 300 sweeps at their own (T,lam)...
  pair     lam_a->lam_b     T_a->T_b | dlog (stackA) dlog (stackB)
     0 1.0000->0.9825 0.500->0.544 |         -10.9          -4.6
     1 0.9825->0.9640 0.544->0.590 |         -10.9          -6.6
     2 0.9640->0.9450 0.590->0.638 |           0.4          -6.1
     3 0.9450->0.9250 0.638->0.688 |         -16.9         -13.9
     4 0.9250->0.9050 0.688->0.738 |          -6.2          -8.4
     5 0.9050->0.8850 0.738->0.788 |         -13.9          -8.0
     6 0.8850->0.8640 0.788->0.840 |          -8.4         -11.4
     7 0.8640->0.8423 0.840->0.894 |           0.8          -7.6
     8 0.8423->0.8200 0.894->0.950 |          -8.9          -5.5
     9 0.8200->0.7960 0.950->1.010 |         -12.0          -5.4

dlog ~ -10..-30: coarse ladder for our system (insert rungs). dlog ~ -100s+: scale bug.
