=== redist acceptance-as-it-goes (R=2.0, n=45, N_try=8, alien seed) ===
  t  lambda | local_acc redist_acc run_mean_rd  q~_now
  1  0.0000 |     0.000      0.000       0.000  -0.011
  2  0.0001 |     0.000      0.000       0.000  -0.011
  3  0.0005 |     0.000      0.000       0.000  -0.011
  4  0.0016 |     0.000      0.000       0.000   0.002
  5  0.0039 |     0.000      0.000       0.000   0.002
  6  0.0081 |     0.000      0.000       0.000   0.002
  7  0.0150 |     0.000      0.000       0.000   0.002
  8  0.0256 |     0.000      0.000       0.000   0.002
  9  0.0410 |     0.000      0.000       0.000   0.002
 10  0.0625 |     0.031      0.167       0.017   0.008
 11  0.0915 |     0.000      0.000       0.015   0.032
 12  0.1296 |     0.000      0.000       0.014   0.032
 13  0.1785 |     0.031      0.000       0.013   0.032
 14  0.2401 |     0.000      0.000       0.012   0.032
 15  0.3164 |     0.000      0.000       0.011   0.032
 16  0.4096 |     0.031      0.000       0.010   0.032
 17  0.5220 |     0.125      0.000       0.010   0.032
 18  0.6561 |     0.000      0.000       0.009   0.032
 19  0.8145 |     0.000      0.000       0.009   0.032
 20  1.0000 |     0.031      0.000       0.008   0.032
