=== cav 0 (n=45)  ref U_IS/n=-53.250  alien-IS sigma~0.183 ===
rank  q~_raw |   U_IS/n  depth_z | q~_IS_vs_refIS | member?
top  0   0.570 |  -52.125      6.1 |          0.122 | no
top  1   0.570 |  -52.690      3.1 |          0.420 | no
top  2   0.510 |  -52.912      1.8 |          0.450 | YES
top  3   0.510 |  -52.736      2.8 |          0.719 | YES
top  4   0.510 |  -52.898      1.9 |          0.510 | YES
top  5   0.510 |  -52.735      2.8 |          0.570 | YES
top  6   0.480 |  -52.525      4.0 |          0.510 | no
top  7   0.480 |  -52.727      2.9 |          0.002 | no
top  8   0.480 |  -52.535      3.9 |          0.510 | no
top  9   0.480 |  -52.921      1.8 |          0.062 | no
top 10   0.480 |  -52.583      3.6 |          0.420 | no
top 11   0.480 |  -52.553      3.8 |          0.480 | no
top 12   0.480 |  -52.490      4.2 |          0.480 | no
top 13   0.450 |  -52.739      2.8 |          0.032 | no
top 14   0.450 |  -52.476      4.2 |         -0.027 | no
top 15   0.450 |  -52.319      5.1 |          0.361 | no
ctl  0   0.062 |  -52.726      2.9 |          0.002 | no
ctl  1  -0.027 |  -52.270      5.4 |          0.032 | no
ctl  2   0.062 |  -52.265      5.4 |         -0.027 | no
ctl  3   0.271 |  -52.590      3.6 |          0.241 | no
ctl  4   0.331 |  -52.665      3.2 |          0.002 | no
ctl  5   0.420 |  -52.624      3.4 |          0.092 | no
ctl  6   0.062 |  -52.392      4.7 |          0.301 | no
ctl  7   0.211 |  -52.384      4.7 |          0.331 | no
=== cav 1 (n=35)  ref U_IS/n=-67.643  alien-IS sigma~0.180 ===
rank  q~_raw |   U_IS/n  depth_z | q~_IS_vs_refIS | member?
top  0   0.510 |  -67.405      1.3 |          0.719 | YES
top  1   0.480 |  -67.260      2.1 |          0.540 | YES
top  2   0.480 |  -67.003      3.6 |          0.002 | no
top  3   0.420 |  -66.796      4.7 |          0.032 | no
top  4   0.420 |  -66.772      4.8 |          0.480 | no
top  5   0.420 |  -66.828      4.5 |          0.062 | no
top  6   0.420 |  -66.616      5.7 |         -0.027 | no
top  7   0.420 |  -66.854      4.4 |          0.450 | no
top  8   0.420 |  -67.285      2.0 |         -0.027 | no
top  9   0.420 |  -66.479      6.5 |          0.032 | no
top 10   0.420 |  -66.598      5.8 |          0.331 | no
top 11   0.391 |  -67.154      2.7 |          0.480 | YES
top 12   0.391 |  -67.069      3.2 |          0.510 | no
top 13   0.391 |  -66.633      5.6 |          0.391 | no
top 14   0.391 |  -66.944      3.9 |          0.450 | no
top 15   0.391 |  -66.609      5.7 |          0.301 | no
ctl  0  -0.027 |  -66.572      6.0 |         -0.057 | no
ctl  1   0.002 |  -66.634      5.6 |          0.002 | no
ctl  2  -0.027 |  -66.742      5.0 |          0.271 | no
ctl  3   0.032 |  -67.027      3.4 |          0.450 | no
ctl  4  -0.027 |  -66.580      5.9 |         -0.027 | no
ctl  5   0.241 |  -66.966      3.8 |         -0.027 | no
ctl  6   0.032 |  -66.883      4.2 |          0.002 | no
ctl  7   0.122 |  -66.640      5.6 |          0.361 | no

ANY 'YES' => q0 does enter the attraction basin; draw+quench+select basin-finder is live.
NONE => attraction-basin coverage wall REAL => dual-seed PT is the path.
